"Recipe ID","Recipe Name","Field Type","Step Number","Danish (DA)","German (DE)","French (FR)","English UK (EN)","English US (EN_US)"
"a4264321-68d6-498d-862c-307e500e31fc","Cola Original","Description","","En ægte klassiker, iskold, boblende og uimodståelig. Den klassiske cola-slush, som alle kender, med den perfekte balance mellem sødme og friskhed. Ideel til både børn og voksne, der elsker den velkendte smag.","Ein ægte klassiker, iskold, bobleinde und uimodståelig. Dein klassiske cola-slush, als alle keinder, mit dein perfekte balance mellem sødme und friskhed. Ideel bis både børn und voksne, der elsker dein velkeindte smag.","Un ægte klassiker, iskold, boblunde et uimodståelig. Dun klassiske cola-slush, comme alle kunder, avec dun parfaite balance mellem sødme et friskhed. Ideel jusqu'à både børn et voksne, der elsker dun velkundte smag.","A ægte klassiker, iskold, boblade and uimodståelig. Da klassiske cola-slush, as alle kader, with da perfecte balance mellem sødme and friskhed. Ideel until både børn and voksne, der elsker da velkadte smag.","A ægte klassiker, iskold, boblade and uimodståelig. Da klassiske cola-slush, as alle kader, with da perfecte balance mellem sødme and friskhed. Ideel until både børn and voksne, der elsker da velkadte smag."
"a4264321-68d6-498d-862c-307e500e31fc","Cola Original","Step","1","Bland cola-sirup og vand i en kande, og rør grundigt, til siruppen er helt opløst.","Mischein Sie cola-sirup und vand in einein Krug, und rør gründlich, bis siruppein er helt opløst.","Mélangez cola-sirup et vand dans un pichet, et rør soigneusemunt, jusqu'à siruppun er helt opløst.","Mix cola-sirup and vand in a pitcher, and rør thoroughly, until siruppa er helt opløst.","Mix cola-sirup and vand in a pitcher, and rør thoroughly, until siruppa er helt opløst."
"a4264321-68d6-498d-862c-307e500e31fc","Cola Original","Step","2","Hæld blandingen direkte i slushmaskinen.","Gießein Sie die Mischung direkte in die Slushmaschine.","Versez le mélange direkte dans la machine à slush.","Pour the mixture direkte in the slush machine.","Pour the mixture direkte in the slush machine."
"a4264321-68d6-498d-862c-307e500e31fc","Cola Original","Step","3","Kør, til du opnår den ønskede frosne konsistens (–3 °C til –5 °C).","Lassein Sie laufein, bis du opnår dein ønskede frosne konsisteins (–3 °C bis –5 °C).","Faites tourner, jusqu'à du opnår dun ønskede frosne konsistuns (–3 °C jusqu'à –5 °C).","Run, until du opnår da ønskede frosne konsistas (–3 °C until –5 °C).","Run, until du opnår da ønskede frosne konsistas (–3 °C until –5 °C)."
"a4264321-68d6-498d-862c-307e500e31fc","Cola Original","Step","4","Server straks – klassisk, iskold og forfriskende.","Servierein Sie sofürt – klassisk, iskold und fürfriskeinde.","Servez immédiatemunt – klassisk, iskold et pourfriskunde.","Serve imwithiately – klassisk, iskold and forfriskade.","Serve imwithiately – klassisk, iskold and forfriskade."
"ca129aac-d5b5-46a6-962f-a71b49edb1b8","Hindbær Drøm","Description","","En frisk og let syrlig hindbær-slush med et strejf af lime.
Den dybe røde farve og friske smag gør den perfekt til både sommerfester og caféservering.","Ein frisk und let syrlig hindbær-slush mit et strejf af lime.
Dein dybe røde farve und friske smag gør dein perfekt bis både alsmerfester und caféservering.","Un frisk et let syrlig hindbær-slush avec et strejf af lime.
Dun dybe røde farve et friske smag gør dun parfait jusqu'à både commemerfester et caféservering.","A frisk and let syrlig hindbær-slush with et strejf af lime.
Da dybe røde farve and friske smag gør da perfect until både asmerfester and caféservering.","A frisk and let syrlig hindbær-slush with et strejf af lime.
Da dybe røde farve and friske smag gør da perfect until både asmerfester and caféservering."
"ca129aac-d5b5-46a6-962f-a71b49edb1b8","Hindbær Drøm","Step","1","Hæld hindbær-sirup og vand i en kande, og rør grundigt.","Gießein Sie hindbær-sirup und vand in einein Krug, und rør gründlich.","Versez hindbær-sirup et vand dans un pichet, et rør soigneusemunt.","Pour hindbær-sirup and vand in a pitcher, and rør thoroughly.","Pour hindbær-sirup and vand in a pitcher, and rør thoroughly."
"ca129aac-d5b5-46a6-962f-a71b49edb1b8","Hindbær Drøm","Step","2","Tilsæt lime-saft for at justere friskhed.","Fügein Sie hinzu lime-saft für at justere friskhed.","Ajoutez lime-saft pour at justere friskhed.","Add lime-saft for at justere friskhed.","Add lime-saft for at justere friskhed."
"ca129aac-d5b5-46a6-962f-a71b49edb1b8","Hindbær Drøm","Step","3","Fyld blandingen i maskinen, og kør ved ca. –3 °C, indtil den får klassisk slush-konsistens.","Füllein Sie die Mischung in die Maschine, und kør ved ca. –3 °C, indbis dein får klassisk slush-konsisteins.","Remplissez le mélange dans la machine, et kør ved ca. –3 °C, indjusqu'à dun får klassisk slush-konsistuns.","Fill the mixture in the machine, and kør ved ca. –3 °C, induntil da får klassisk slush-konsistas.","Fill the mixture in the machine, and kør ved ca. –3 °C, induntil da får klassisk slush-konsistas."
"c8d256f8-06ea-425c-97b2-1cbf187da639","Grøn Æble","Description","","Frisk grøn æble-slushice med en sprød syrlighed og let sødme.
Perfekt balanceret mellem frugtig friskhed og klassisk slush-konsistens.","Frisk grøn æble-slushice mit ein sprød syrlighed und let sødme.
Perfekt balanceret mellem frugtig friskhed und klassisk slush-konsisteins.","Frisk grøn æble-slushice avec un sprød syrlighed et let sødme.
Perfekt balanceret mellem frugtig friskhed et klassisk slush-konsistuns.","Frisk grøn æble-slushice with a sprød syrlighed and let sødme.
Perfekt balanceret mellem frugtig friskhed and klassisk slush-konsistas.","Frisk grøn æble-slushice with a sprød syrlighed and let sødme.
Perfekt balanceret mellem frugtig friskhed and klassisk slush-konsistas."
"c8d256f8-06ea-425c-97b2-1cbf187da639","Grøn Æble","Step","1","Hæld grøn æble-sirup og vand i en kande, og rør grundigt.","Gießein Sie grøn æble-sirup und vand in einein Krug, und rør gründlich.","Versez grøn æble-sirup et vand dans un pichet, et rør soigneusemunt.","Pour grøn æble-sirup and vand in a pitcher, and rør thoroughly.","Pour grøn æble-sirup and vand in a pitcher, and rør thoroughly."
"c8d256f8-06ea-425c-97b2-1cbf187da639","Grøn Æble","Step","2","Tilsæt citronsaft for ekstra friskhed.","Fügein Sie hinzu citronsaft für ekstra friskhed.","Ajoutez citronsaft pour ekstra friskhed.","Add citronsaft for ekstra friskhed.","Add citronsaft for ekstra friskhed."
"c8d256f8-06ea-425c-97b2-1cbf187da639","Grøn Æble","Step","3","Hæld blandingen i maskinen og kør ved ca. –3 °C, til ønsket slush-konsistens opnås.","Gießein Sie die Mischung in die Maschine und kør ved ca. –3 °C, bis ønsket slush-konsisteins opnås.","Versez le mélange dans la machine et kør ved ca. –3 °C, jusqu'à ønsket slush-konsistuns opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slush-konsistas opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slush-konsistas opnås."
"e3a90762-fe83-4143-bc3b-0f6eb21324ba","Tropisk Paradise","Description","","En silkeblød, eksotisk slush med frisk mango og passionsfrugt – let syrlig, rund i smagen og med tropisk sødme, der giver ren feriestemning i hvert glas. Lime tilføjer en frisk kant, som fremhæver den frugtagtige balance.","Ein silkeblød, eksotisk slush mit frisk mango und passionsfrugt – let syrlig, rund i smagein und mit tropisk sødme, der giver rein feriestemning i hvert glas. Lime bisføjer ein frisk kant, als fremhæver dein frugtagtige balance.","Un silkeblød, eksotisk slush avec frisk mango et passionsfrugt – let syrlig, rund i smagun et avec tropisk sødme, der giver run feriestemning i hvert glas. Lime jusqu'àføjer un frisk kant, comme fremhæver dun frugtagtige balance.","A silkeblød, eksotisk slush with frisk mango and passionsfrugt – let syrlig, rund i smaga and with tropisk sødme, der giver ra feriestemning i hvert glas. Lime untilføjer a frisk kant, as fremhæver da frugtagtige balance.","A silkeblød, eksotisk slush with frisk mango and passionsfrugt – let syrlig, rund i smaga and with tropisk sødme, der giver ra feriestemning i hvert glas. Lime untilføjer a frisk kant, as fremhæver da frugtagtige balance."
"e3a90762-fe83-4143-bc3b-0f6eb21324ba","Tropisk Paradise","Step","1","Bland mango- og passionsfrugtsirup i en kande.","Mischein Sie mango- und passionsfrugtsirup in einein Krug.","Mélangez mango- et passionsfrugtsirup dans un pichet.","Mix mango- and passionsfrugtsirup in a pitcher.","Mix mango- and passionsfrugtsirup in a pitcher."
"e3a90762-fe83-4143-bc3b-0f6eb21324ba","Tropisk Paradise","Step","2","Tilsæt vand og lime, og rør grundigt.","Fügein Sie hinzu vand und lime, und rør gründlich.","Ajoutez vand et lime, et rør soigneusemunt.","Add vand and lime, and rør thoroughly.","Add vand and lime, and rør thoroughly."
"e3a90762-fe83-4143-bc3b-0f6eb21324ba","Tropisk Paradise","Step","3","Fyld blandingen i maskinen og kør til ønsket slushkonsistens.","Füllein Sie die Mischung in die Maschine und kør bis ønsket slushkonsisteins.","Remplissez le mélange dans la machine et kør jusqu'à ønsket slushkonsistuns.","Fill the mixture in the machine and kør until ønsket slushkonsistas.","Fill the mixture in the machine and kør until ønsket slushkonsistas."
"e3a90762-fe83-4143-bc3b-0f6eb21324ba","Tropisk Paradise","Step","4","Server med frisk mango- eller passionsfrugt som pynt.","Servierein Sie mit frisk mango- oder passionsfrugt als pynt.","Servez avec frisk mango- ou passionsfrugt comme pynt.","Serve with frisk mango- or passionsfrugt as pynt.","Serve with frisk mango- or passionsfrugt as pynt."
"e3a90762-fe83-4143-bc3b-0f6eb21324ba","Tropisk Paradise","Step","5","Teknisk note:
	•	Denne opskrift giver en stabil fryseevne ved 14°Bx – ideel til både standard- og kompakte maskiner.
	•	Lime kan udelades, men anbefales for at balancere sødmen og give friskhed.
	•	Hvis du ønsker en tykkere struktur, kan 20–30 ml sirup tilføjes uden at påvirke frysepunktet væsentligt.","Teknisk note:
	•	Deinne Rezept giver ein stabil fryseevne ved 14°Bx – ideel bis både standard- und kompakte maskiner.
	•	Lime kan udelades, mein anbefales für at balancere sødmein und give friskhed.
	•	Hvis du ønsker ein tykkere struktur, kan 20–30 ml sirup bisføjes udein at aufvirke frysepunktet væseintligt.","Teknisk note:
	•	Dunne recette giver un stabil fryseevne ved 14°Bx – ideel jusqu'à både standard- et kompakte maskiner.
	•	Lime kan udelades, mun anbefales pour at balancere sødmun et give friskhed.
	•	Hvis du ønsker un tykkere struktur, kan 20–30 ml sirup jusqu'àføjes udun at survirke frysepunktet væsuntligt.","Teknisk note:
	•	Dane recipe giver a stabil fryseevne ved 14°Bx – ideel until både standard- and kompakte maskiner.
	•	Lime kan udelades, ma anbefales for at balancere sødma and give friskhed.
	•	Hvis du ønsker a tykkere struktur, kan 20–30 ml sirup untilføjes uda at onvirke frysepunktet væsatligt.","Teknisk note:
	•	Dane recipe giver a stabil fryseevne ved 14°Bx – ideel until både standard- and kompakte maskiner.
	•	Lime kan udelades, ma anbefales for at balancere sødma and give friskhed.
	•	Hvis du ønsker a tykkere struktur, kan 20–30 ml sirup untilføjes uda at onvirke frysepunktet væsatligt."
"54d70066-228e-4abb-812f-d23b183a3ab4","Kirsebær Luksus","Description","","Elegant kirsebærslushice med et strejf af mandel – en smag der minder om klassisk kirsebærtrøffel, men frisk og afkølende.
Perfekt som luksusvariant til dessert eller som et sofistikeret alternativ til almindelig frugtslush.","Elegant kirsebærslushice mit et strejf af mandel – ein smag der minder om klassisk kirsebærtrøffel, mein frisk und afkøleinde.
Perfekt als luksusvariant bis dessert oder als et sofistikeret alternativ bis almindelig frugtslush.","Elegant kirsebærslushice avec et strejf af mandel – un smag der minder om klassisk kirsebærtrøffel, mun frisk et afkølunde.
Perfekt comme luksusvariant jusqu'à dessert ou comme et sofistikeret alternativ jusqu'à almindelig frugtslush.","Elegant kirsebærslushice with et strejf af mandel – a smag der minder om klassisk kirsebærtrøffel, ma frisk and afkølade.
Perfekt as luksusvariant until dessert or as et sofistikeret alternativ until almindelig frugtslush.","Elegant kirsebærslushice with et strejf af mandel – a smag der minder om klassisk kirsebærtrøffel, ma frisk and afkølade.
Perfekt as luksusvariant until dessert or as et sofistikeret alternativ until almindelig frugtslush."
"54d70066-228e-4abb-812f-d23b183a3ab4","Kirsebær Luksus","Step","1","Hæld kirsebær-sirup og vand i en kande, og rør grundigt.","Gießein Sie kirsebær-sirup und vand in einein Krug, und rør gründlich.","Versez kirsebær-sirup et vand dans un pichet, et rør soigneusemunt.","Pour kirsebær-sirup and vand in a pitcher, and rør thoroughly.","Pour kirsebær-sirup and vand in a pitcher, and rør thoroughly."
"54d70066-228e-4abb-812f-d23b183a3ab4","Kirsebær Luksus","Step","2","Tilsæt mandel-sirup for rund og luksuriøs smag.","Fügein Sie hinzu mandel-sirup für rund und luksuriøs smag.","Ajoutez mandel-sirup pour rund et luksuriøs smag.","Add mandel-sirup for rund and luksuriøs smag.","Add mandel-sirup for rund and luksuriøs smag."
"54d70066-228e-4abb-812f-d23b183a3ab4","Kirsebær Luksus","Step","3","Hæld blandingen i maskinen og kør ved ca. –3 °C, indtil du får en jævn og cremet slush-konsistens.","Gießein Sie die Mischung in die Maschine und kør ved ca. –3 °C, indbis du får ein glatt und cremig slush-konsisteins.","Versez le mélange dans la machine et kør ved ca. –3 °C, indjusqu'à du får un lisse et crémeux slush-konsistuns.","Pour the mixture in the machine and kør ved ca. –3 °C, induntil du får a smooth and creamy slush-konsistas.","Pour the mixture in the machine and kør ved ca. –3 °C, induntil du får a smooth and creamy slush-konsistas."
"54d70066-228e-4abb-812f-d23b183a3ab4","Kirsebær Luksus","Step","4","Teknisk note:
	•	Al væske fryses i maskinen – ingen knust is skal tilsættes.
	•	Kombinationen af kirsebær og mandel giver en fyldig, aromatisk slush med stabil fryseevne.
	•	Sukkerbalancen på ca. 15 °Bx sikrer cremet tekstur uden at belaste sneglen.","Teknisk note:
	•	Al væske fryses in die Maschine – ingein knust is skal bissættes.
	•	Gebein Siebinationein af kirsebær und mandel giver ein fyldig, aromatisk slush mit stabil fryseevne.
	•	Sukkerbalancein auf ca. 15 °Bx sikrer cremig tekstur udein at belaste sneglein.","Teknisk note:
	•	Al væske fryses dans la machine – ingun knust is skal jusqu'àsættes.
	•	Mettezbinationun af kirsebær et mandel giver un fyldig, aromatisk slush avec stabil fryseevne.
	•	Sukkerbalancun sur ca. 15 °Bx sikrer crémeux tekstur udun at belaste sneglun.","Teknisk note:
	•	Al væske fryses in the machine – inga knust is skal untilsættes.
	•	Putbinationa af kirsebær and mandel giver a fyldig, aromatisk slush with stabil fryseevne.
	•	Sukkerbalanca on ca. 15 °Bx sikrer creamy tekstur uda at belaste snegla.","Teknisk note:
	•	Al væske fryses in the machine – inga knust is skal untilsættes.
	•	Putbinationa af kirsebær and mandel giver a fyldig, aromatisk slush with stabil fryseevne.
	•	Sukkerbalanca on ca. 15 °Bx sikrer creamy tekstur uda at belaste snegla."
"ae169a1d-5f38-4de5-8489-fefd09fb4034","Solbær Intense","Description","","Kraftfuld solbærslushice med et strejf af ingefær, der giver en intens og let krydret eftersmag. Den dybe bærsmag balanceres med friskhed og let varme fra ingefæren – perfekt til dem, der elsker en markant og elegant smagsprofil.","Kraftfuld solbærslushice mit et strejf af ingefær, der giver ein inteins und let krydret eftersmag. Dein dybe bærsmag balanceres mit friskhed und let varme fra ingefærein – perfekt bis dem, der elsker ein markant und elegant smagsprofil.","Kraftfuld solbærslushice avec et strejf af ingefær, der giver un intuns et let krydret eftersmag. Dun dybe bærsmag balanceres avec friskhed et let varme fra ingefærun – parfait jusqu'à dem, der elsker un markant et elegant smagsprofil.","Kraftfuld solbærslushice with et strejf af ingefær, der giver a intas and let krydret eftersmag. Da dybe bærsmag balanceres with friskhed and let varme fra ingefæra – perfect until dem, der elsker a markant and elegant smagsprofil.","Kraftfuld solbærslushice with et strejf af ingefær, der giver a intas and let krydret eftersmag. Da dybe bærsmag balanceres with friskhed and let varme fra ingefæra – perfect until dem, der elsker a markant and elegant smagsprofil."
"ae169a1d-5f38-4de5-8489-fefd09fb4034","Solbær Intense","Step","1","Bland solbærsirup og vand i en kande.","Mischein Sie solbærsirup und vand in einein Krug.","Mélangez solbærsirup et vand dans un pichet.","Mix solbærsirup and vand in a pitcher.","Mix solbærsirup and vand in a pitcher."
"ae169a1d-5f38-4de5-8489-fefd09fb4034","Solbær Intense","Step","2","Tilsæt ingefær sirup for et krydret twist og rør grundigt.","Fügein Sie hinzu ingefær sirup für et krydret twist und rør gründlich.","Ajoutez ingefær sirup pour et krydret twist et rør soigneusemunt.","Add ingefær sirup for et krydret twist and rør thoroughly.","Add ingefær sirup for et krydret twist and rør thoroughly."
"ae169a1d-5f38-4de5-8489-fefd09fb4034","Solbær Intense","Step","3","Hæld blandingen i slushmaskinen og kør til ønsket konsistens.","Gießein Sie die Mischung in die Slushmaschine und kør bis gewünschte Konsisteinz.","Versez le mélange dans la machine à slush et kør jusqu'à consistance souhaitée.","Pour the mixture in the slush machine and kør until desired consistacy.","Pour the mixture in the slush machine and kør until desired consistacy."
"ae169a1d-5f38-4de5-8489-fefd09fb4034","Solbær Intense","Step","4","Server straks – pynt evt. med friske solbær og et mynteblad.","Servierein Sie sofürt – pynt ggf. mit friske solbær und et mynteblad.","Servez immédiatemunt – pynt évuntuellemunt avec friske solbær et et mynteblad.","Serve imwithiately – pynt optionally with friske solbær and et mynteblad.","Serve imwithiately – pynt optionally with friske solbær and et mynteblad."
"ae169a1d-5f38-4de5-8489-fefd09fb4034","Solbær Intense","Step","5","Teknisk note:
Denne opskrift er rig på naturlig syre fra solbær, som hjælper med at bevare en frisk og stabil fryseprofil.
For en mildere version kan sirupsmængden reduceres med 10 %, mens en kraftigere “intense” variant opnås ved at øge ingefærsiruppen.","Teknisk note:
Deinne Rezept er rig auf naturlig syre fra solbær, als hjælper mit at bevare ein frisk und stabil fryseprofil.
For ein mildere version kan sirupsmængdein reduceres mit 10 %, meins ein kraftigere “inteinse” variant opnås ved at øge ingefærsiruppein.","Teknisk note:
Dunne recette er rig sur naturlig syre fra solbær, comme hjælper avec at bevare un frisk et stabil fryseprofil.
For un mildere version kan sirupsmængdun reduceres avec 10 %, muns un kraftigere “intunse” variant opnås ved at øge ingefærsiruppun.","Teknisk note:
Dane recipe er rig on naturlig syre fra solbær, as hjælper with at bevare a frisk and stabil fryseprofil.
For a mildere version kan sirupsmængda reduceres with 10 %, mas a kraftigere “intase” variant opnås ved at øge ingefærsiruppa.","Teknisk note:
Dane recipe er rig on naturlig syre fra solbær, as hjælper with at bevare a frisk and stabil fryseprofil.
For a mildere version kan sirupsmængda reduceres with 10 %, mas a kraftigere “intase” variant opnås ved at øge ingefærsiruppa."
"04de7e24-9af6-42bc-b530-80e0bb920108","Lime Cool","Description","","En super frisk lime-slush med et strejf af mynte.
Den syrlige lime og den kølige mynte giver en sprød, forfriskende smag, der passer perfekt til varme dage eller som en opkvikkende pause i hverdagen.","Ein super frisk lime-slush mit et strejf af mynte.
Dein syrlige lime und dein kølige mynte giver ein sprød, fürfriskeinde smag, der passer perfekt bis varme dage oder als ein opkvikkeinde pause i hverdagein.","Un super frisk lime-slush avec et strejf af mynte.
Dun syrlige lime et dun kølige mynte giver un sprød, pourfriskunde smag, der passer parfait jusqu'à varme dage ou comme un opkvikkunde pause i hverdagun.","A super frisk lime-slush with et strejf af mynte.
Da syrlige lime and da kølige mynte giver a sprød, forfriskade smag, der passer perfect until varme dage or as a opkvikkade pause i hverdaga.","A super frisk lime-slush with et strejf af mynte.
Da syrlige lime and da kølige mynte giver a sprød, forfriskade smag, der passer perfect until varme dage or as a opkvikkade pause i hverdaga."
"04de7e24-9af6-42bc-b530-80e0bb920108","Lime Cool","Step","1","Hæld sirupper og vand i en kande, og rør grundigt.","Gießein Sie sirupper und vand in einein Krug, und rør gründlich.","Versez sirupper et vand dans un pichet, et rør soigneusemunt.","Pour sirupper and vand in a pitcher, and rør thoroughly.","Pour sirupper and vand in a pitcher, and rør thoroughly."
"04de7e24-9af6-42bc-b530-80e0bb920108","Lime Cool","Step","2","Justér evt. sødmen med lidt ekstra vand, hvis smagen ønskes mere frisk.","Justér ggf. sødmein mit lidt ekstra vand, hvis smagein ønskes mere frisk.","Justér évuntuellemunt sødmun avec lidt ekstra vand, hvis smagun ønskes mere frisk.","Justér optionally sødma with lidt ekstra vand, hvis smaga ønskes mere frisk.","Justér optionally sødma with lidt ekstra vand, hvis smaga ønskes mere frisk."
"04de7e24-9af6-42bc-b530-80e0bb920108","Lime Cool","Step","3","Hæld i maskinen og kør ved ca. –3 °C, til konsistensen er jævn.","Gießein Sie in die Maschine und kør ved ca. –3 °C, bis konsisteinsein er glatt.","Versez dans la machine et kør ved ca. –3 °C, jusqu'à konsistunsun er lisse.","Pour in the machine and kør ved ca. –3 °C, until konsistasa er smooth.","Pour in the machine and kør ved ca. –3 °C, until konsistasa er smooth."
"28286812-f313-4ae7-a317-e84d3048f11b","Blue Lagoon Frozen (18+)","Description","","En frisk og sprudlende frozen version af den klassiske Blue Lagoon. Kombinationen af blå curaçao, vodka og lemonade giver en sød, syrlig og let bitter balance.
Alkoholprocent (beregnet): ca. 5,8 % vol.","Ein frisk und sprudleinde frozein version af dein klassiske Blue Lagoon. Gebein Siebinationein af blå curaçao, vodka und lemonade giver ein sød, syrlig und let bitter balance.
Alkoholproceint (beregnet): ca. 5,8 % vol.","Un frisk et sprudlunde frozun version af dun klassiske Blue Lagoon. Mettezbinationun af blå curaçao, vodka et lemonade giver un sød, syrlig et let bitter balance.
Alkoholprocunt (beregnet): ca. 5,8 % vol.","A frisk and sprudlade froza version af da klassiske Blue Lagoon. Putbinationa af blå curaçao, vodka and lemonade giver a sød, syrlig and let bitter balance.
Alkoholprocat (beregnet): ca. 5,8 % vol.","A frisk and sprudlade froza version af da klassiske Blue Lagoon. Putbinationa af blå curaçao, vodka and lemonade giver a sød, syrlig and let bitter balance.
Alkoholprocat (beregnet): ca. 5,8 % vol."
"28286812-f313-4ae7-a317-e84d3048f11b","Blue Lagoon Frozen (18+)","Step","1","Bland blå curaçao-sirup, vodka og lemonade i en kande.","Mischein Sie blå curaçao-sirup, vodka und lemonade in einein Krug.","Mélangez blå curaçao-sirup, vodka et lemonade dans un pichet.","Mix blå curaçao-sirup, vodka and lemonade in a pitcher.","Mix blå curaçao-sirup, vodka and lemonade in a pitcher."
"28286812-f313-4ae7-a317-e84d3048f11b","Blue Lagoon Frozen (18+)","Step","2","Tilsæt lime saft for friskhed og balance.","Fügein Sie hinzu lime saft für friskhed und balance.","Ajoutez lime saft pour friskhed et balance.","Add lime saft for friskhed and balance.","Add lime saft for friskhed and balance."
